gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
LHX8,-0.01208700715233889,-0.4118761225317998,0.6805062513272846,0.12847173,0.1470145,0.9485104771808687,60
ALOX15B,-0.012084527080813333,-0.41179159942026833,0.6805681901961591,0.22735006,0.24272865,0.9485104771808687,60
COL1A1,-0.01208425988704608,-0.41178249321214794,0.6805748633900617,0.012097178,0.038278915,0.9485104771808687,60
TMEM220,-0.01208011733670939,-0.41164131131674886,0.6806783272382253,0.16539115,0.17154148,0.9485104771808687,60
GJA8,-0.012079744860167916,-0.411628616977383,0.6806876304624682,0.101111755,0.12794499,0.9485104771808687,60
AGER,-0.012078273070337688,-0.41157845704279605,0.6807243913483196,0.26255506,0.27103975,0.9485104771808687,60
RNF144A,-0.012075341702961167,-0.4114785533873242,0.6807976103506432,0.3358327,0.33481854,0.9485104771808687,60
TMEFF2,-0.012075095582095003,-0.411470165365748,0.6808037580362583,0.17525713,0.16666971,0.9485104771808687,60
B4GALNT4,-0.01205589227515493,-0.4108156995387084,0.6812834896339727,0.12485788,0.12222258,0.9487482606220446,60
TEAD3,-0.012051796455921105,-0.4106761104251993,0.6813858269007145,-0.18117835,-0.1617353,0.9487482606220446,60
ODAD1,-0.012049832914184877,-0.4106091912071819,0.6814348896128376,-0.05919852,-0.032357268,0.9487482606220446,60
SMIM15,-0.012043571181922414,-0.41039578593220927,0.6815913595305123,0.11680759,0.12054736,0.9487482606220446,60
PGLS,-0.012037847556509692,-0.41020071984836315,0.6817343950498304,-0.08253705,-0.053522706,0.9487482606220446,60
KDELR3,-0.01203672512484676,-0.41016246641526577,0.6817624463728701,0.13228114,0.11689962,0.9487482606220446,60
IPPK,-0.01203512579633684,-0.4101079599315586,0.6818024168530445,-0.30350494,-0.2830408,0.9487482606220446,60
WIPI1,-0.012031012723156327,-0.4099677828936402,0.6819052150333117,0.20151895,0.20341845,0.948820058551006,60
FTSJ3,-0.012022082860718026,-0.40966344564602997,0.6821284196906358,-0.65895325,-0.6556919,0.9489168790096217,60
PLAAT5,-0.012016605894387236,-0.40947678606009197,0.6822653318924459,-0.036880206,-0.031382464,0.9489737923279525,60
CNKSR3,-0.012012252204885832,-0.40932840871275633,0.682374172077598,0.1880456,0.19396695,0.9489737923279525,60
SLC11A1,-0.01200412381219788,-0.409051386413971,0.6825773957208845,0.11588813,0.12452228,0.9490614081143894,60
TTI1,-0.011997442290702928,-0.4088236747345168,0.6827444623373227,-0.8505226,-0.8448828,0.9490614081143894,60
TRIM15,-0.011988240349306442,-0.40851006518731675,0.6829745756439389,0.15265097,0.16243453,0.9493100706013975,60
