gene,t,p,fdr,eff_flag,eff_rest
LEAP2,-1.696433992166317,0.09006836604440159,0.6934179024382243,0.16346271,0.18240245
LECT2,-1.610728861683858,0.10750718385347115,0.7269550288148382,0.24706553,0.25663477
LEF1,-0.4994357019093041,0.6175658941514018,0.9607418020732197,0.16125324,0.1679597
LEFTY1,-0.9074852951825071,0.3643361360889054,0.9023142668724107,0.03532396,0.04453006
LEFTY2,-0.49456044441751873,0.6210028036148391,0.9609564375055676,0.25436634,0.2598426
LEKR1,-0.9980814614524166,0.3184451775109618,0.8912192586375755,0.29684573,0.3134859
LELP1,-0.20686767650434612,0.8361490124697029,0.9847455442382084,0.046514846,0.052538183
LEMD1,1.0410344725898197,0.29807352066838017,0.8861166960374129,0.22208,0.2095867
LEMD2,-2.051759559195907,0.040414094112685865,0.5881800394776632,-0.20633483,-0.13705589
LEMD3,-0.21794127611900377,0.8275126760889437,0.9847455442382084,-0.0810587,-0.06930708
LENEP,-1.0014608795882496,0.31681005801647655,0.8912192586375755,0.14422233,0.15204737
LENG1,-0.26057686683850406,0.7944644501578058,0.9812851247000133,-0.26052895,-0.26506585
LENG8,0.012660715370186365,0.9899006279792475,0.9988482731872276,-0.3885268,-0.39124566
LENG9,-0.4747989395873847,0.635018447390728,0.9634810879210404,0.13886423,0.13968678
LEO1,0.9066741415998453,0.36476487614533,0.9023142668724107,-0.06098429,-0.08053494
LEP,1.277264840621307,0.20176087098894785,0.8257134938816679,0.12934345,0.103439845
LEPR,0.8962161799816731,0.3703207294801486,0.9040965156438044,0.07704786,0.067911245
LEPROT,0.7486882560769659,0.45419483506687014,0.9237937096503315,0.14178078,0.13384195
LEPROTL1,1.1558331361414964,0.24798418208018244,0.8568545033469934,0.31657553,0.29628432
LETM1,0.6863966957421583,0.4925982964136287,0.9285236607988335,-1.0784447,-1.0874864
LETM2,1.8933274749233733,0.0585596317662412,0.633434408180325,0.15559477,0.12733993
LETMD1,0.6375505005936536,0.5238904311127671,0.9394866953823287,0.09080465,0.08191103
LEUTX,0.12497873185204887,0.9005617478429151,0.9904757021094086,0.2842565,0.28477082
LFNG,0.798343515864613,0.424832358026062,0.916677505912797,0.17674886,0.16157943
LGALS1,-0.9851719578445359,0.324742254027846,0.8930949918463713,0.27214968,0.27884313
LGALS12,-0.5820446652455874,0.5606481563908385,0.9460441912946183,0.13976488,0.15317509
LGALS13,0.7032624985432389,0.482031377774101,0.9267168998928006,0.11898745,0.1096554
LGALS14,0.48172641827791546,0.6300899373178614,0.96332516201203,0.029546034,0.028304476
LGALS16,-0.5518069978928395,0.5811854309829032,0.9523866695836402,0.18165424,0.18422352
LGALS2,-1.0702409508385926,0.2847304727210199,0.8838167312870122,0.20605296,0.21705718
LGALS3,-1.0235819716253407,0.30624326925813533,0.89008124993729,0.18495099,0.19695601
LGALS3BP,1.0882842421132557,0.2766926227481698,0.8788498777685938,-0.079802796,-0.10164423
LGALS4,-2.2710416074811888,0.02332461011134543,0.5100690214398903,0.06863329,0.09226979
LGALS7,-0.14946165529998415,0.8812149912123433,0.9893277984754026,0.18691367,0.191426
LGALS7B,-0.3028474159976903,0.7620597064634758,0.9761728175930027,-0.019554267,-0.011348473
LGALS8,1.2822237267622882,0.20001687507653904,0.8251114317797829,0.25136617,0.23224215
LGALS9,2.051839033486986,0.040406353650101076,0.5881800394776632,-0.046323143,-0.0630065
LGALS9B,0.8604169321523985,0.38973463135904957,0.9089273011880106,-0.1749025,-0.18497261
LGALS9C,1.0071838749541326,0.314053606465574,0.8910670146112861,0.13677715,0.12790452
LGALSL,0.8054115613643814,0.4207450356889292,0.9158395753410695,0.14624196,0.13303855
LGI1,-1.8888339409956818,0.05915997102853148,0.634233837033048,0.013185979,0.040984567
LGI2,0.5199732512557357,0.6031800811104493,0.958314736530008,0.20978864,0.1994076
