gene,mean_PTENdef,mean_PTENwt,diff,t,n_def,n_wt,p,fdr
MSI2,-0.010887706024304705,-0.007622542008764086,-0.0032651640155406184,-0.22023673956324838,240,876,0.8256867849549849,0.9524852836552319
MSL1,-0.22766260860977197,-0.26312092927507885,0.03545832066530688,1.9625712538498092,240,876,0.04969601364129205,0.3810596885353285
MSL2,0.0623773237406882,0.0644124587557004,-0.0020351350150122002,-0.15403748625047098,240,876,0.8775801785445874,0.9661491945469616
MSL3,0.22014215926346473,0.1879412486749985,0.03220091058846622,2.242604755580931,240,876,0.024922313314068047,0.2991164361620081
MSLN,0.23905411813714442,0.22786642814558045,0.01118768999156397,1.4181387712682174,240,876,0.15615025370127364,0.5774185446976459
MSMB,0.14263183088580933,0.17752325209845538,-0.034891421212646045,-3.6655096888276075,240,876,0.0002468464652802288,0.049534947103863324
MSMO1,0.32820763027456995,0.3035394105307042,0.024668219743865738,2.048237963470322,240,876,0.04053668828530115,0.35416770072963355
MSMP,0.1893476871927447,0.19106373572448315,-0.0017160485317384566,-0.1377918981108806,240,876,0.8904048876507037,0.9697973377519301
MSN,0.05771727611013707,0.09164207294213302,-0.033924796831995944,-2.507303622105217,240,876,0.01216561609447728,0.23063973083095077
MSR1,0.2744972198498733,0.2780785186371055,-0.003581298787232179,-0.411573410738867,240,876,0.6806521238127341,0.905500419789399
MSRA,0.28469237381941875,0.291338184547331,-0.00664581072791226,-0.8369733517545236,240,876,0.40260754717938385,0.780840553769137
MSRB1,-0.05161254956372937,-0.04476421059280475,-0.006848338970924621,-0.554751729027824,240,876,0.5790644883857434,0.8647311338359635
MSRB2,0.20232442724062202,0.20152261094425,0.000801816296372021,0.08564019621766425,240,876,0.9317524438609296,0.979745319096316
MSRB3,0.1313279564268599,0.14438648352551703,-0.013058527098657124,-1.454367213269153,240,876,0.14584452488616748,0.5624777858319032
MSS51,0.1452219781140343,0.1341860436842814,0.011035934429752925,0.8511872049541372,240,876,0.39466536925659457,0.7770458000350049
MST1,0.002525835422185355,0.04561353553910062,-0.04308770011691527,-1.9025852282614966,65,237,0.05709468814888218,0.39935995165755794
MST1R,0.10277776750439047,0.11156144668175415,-0.008783679177363682,-0.892046356003217,240,876,0.372368086146353,0.763761284604001
MSTN,0.1478791614720136,0.15757256572133957,-0.009693404249325965,-0.9710186027628767,240,876,0.3315390150103448,0.7386468531780678
MSTO1,-0.7678685456941337,-0.8264109362587542,0.05854239056462052,1.5323059698262897,240,876,0.12544694863845915,0.5315133298437128
MSX1,0.211098193173875,0.21708646718667335,-0.005988274012798361,-0.5323548156576524,240,876,0.5944802735503587,0.8705408855566189
MSX2,0.1903896090862949,0.19958944045125288,-0.009199831364957972,-0.9821987232299022,240,876,0.3260019564768908,0.7344306571735894
MT1A,-0.005821561149599391,-0.01842393504109503,0.012602373891495638,1.063148943171304,222,813,0.2877144120262518,0.7059783289902771
MT1B,-0.026028923519138027,-0.047263019009015285,0.021234095489877258,2.1054129325300437,240,876,0.03525537902671287,0.33719736359782837
MT1E,-0.3925883525278692,-0.36413924664301095,-0.028449105884858272,-1.369518297180931,234,857,0.1708373193241458,0.595381848285318
MT1F,0.011564515805495248,0.004285226216664493,0.0072792895888307545,0.5893116437929247,240,876,0.5556522353692279,0.8569638313629229
MT1G,-0.16157068725957227,-0.1986753219931898,0.037104634733617525,2.825300956376985,228,832,0.004723622571165731,0.1609611499065439
MT1H,0.14197228050608018,0.12421226736674458,0.017760013139335604,1.407675179009929,228,832,0.1592272748209086,0.5833835381997694
MT1HL1,-0.07683023101635819,-0.061405647680743455,-0.015424583335614736,-1.1203265155820732,228,831,0.2625746467335861,0.6836869451833212
MT1M,0.13941803010475956,0.1327671798432556,0.006650850261503971,0.5697410748796021,222,813,0.5688533266578942,0.8607741177820144
MT1X,-0.12363509772334712,-0.1035801350113142,-0.020054962712032914,-1.3961892230499526,228,832,0.16265752114842358,0.587205639102232
MT2A,-0.3392654987393885,-0.36019790504788646,0.020932406308497964,1.0916637259010682,228,832,0.2749809347087977,0.6968073582620873
MT3,0.0768130759358807,0.08226902081408213,-0.0054559448782014325,-0.5340065920630416,240,876,0.5933369732816239,0.8703155809140015
MT4,0.25461829417391174,0.2542559254760008,0.00036236869791095305,0.03570390486620327,240,876,0.971518456905931,0.9911573957529943
MTA1,0.16350852708736002,0.16165336834610303,0.0018551587412569959,0.17927060474430437,240,876,0.8577252269421101,0.9612539043109312
MTA2,-0.03776248050434856,-0.0663784160520705,0.02861593554772194,1.791665450564988,240,876,0.07318657201331609,0.4359810518386358
MTA3,0.15601936788552398,0.1778942269558299,-0.021874859070305924,-2.137726646894916,240,876,0.032538935487231746,0.32796898617119585
MTAP,0.17838148137075097,0.18953957631519852,-0.011158094944447555,-1.1178136779028331,240,876,0.2636465785291464,0.6850996912976346
MTARC1,0.10925454812607731,0.12936935764383478,-0.020114809517757473,-1.9672194239021927,228,832,0.04915791964436857,0.3810596885353285
MTARC2,0.08190362193927751,0.10839391288582384,-0.026490290946546327,-2.1828159068610193,228,832,0.02904936977844622,0.31493309834513683
MTBP,-1.6770327963438045,-1.6312714505263517,-0.045761345817452836,-1.4592801855636837,240,876,0.1444880067206718,0.5605783298604607
MTCH1,0.14261984248039936,0.12334058468777293,0.01927925779262643,1.484455259824893,240,876,0.13768818401332067,0.5486954251327767
MTCH2,-0.0013561802328889954,-0.0477331363389062,0.0463769561060172,2.5583175060682706,240,876,0.010518001020355737,0.21688590290124918
MTCL1,0.3025335067649662,0.2914793525144975,0.011054154250468684,1.352071121161423,240,876,0.1763525646384294,0.6006021668408361
MTCL2,0.06895641980236267,0.07871862183863322,-0.009762202036270554,-0.9783117795795386,240,876,0.3279201456434905,0.7358743621348444
MTCP1,0.311210167031431,0.30448710858153877,0.0067230584498922386,0.9984619032116628,240,876,0.3180554290914378,0.7300596647154757
MTDH,0.10234379425612301,0.11849163388214753,-0.01614783962602452,-1.2096691649497942,240,876,0.22640586642619187,0.649819733390448
MTERF1,0.19196103664811962,0.19624792357761026,-0.004286886929490641,-0.4659767634763962,240,876,0.6412321331003341,0.8897421627054538
MTERF2,0.057781645378678664,0.07828980526314765,-0.020508159884468982,-2.0337827635910393,240,876,0.041973503143753456,0.35889681375468224
MTERF3,-0.1313762106665512,-0.1344483296524425,0.003072118985891298,0.1974181954555348,240,876,0.8435002918920207,0.9571160912585334
