gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
ARSG,-0.03610919260459271,-1.2311676768940356,0.218509496781901,0.29977697,0.30480963,0.6516252791865799,118
ZNF526,-0.03610324952211597,-1.2309647789346259,0.21858534819753414,0.059503462,0.08527135,0.6517241619601652,118
KMT5A,-0.03610084397012483,-1.2308826529720125,0.21861605556875252,-0.3858522,-0.36695376,0.6517241619601652,118
C19orf38,-0.03609832897271169,-1.2307967905465997,0.2186481633428497,-0.0951106,-0.059736058,0.6517241619601652,118
HMGXB4,-0.03608905327892258,-1.2304801170371733,0.2187666109558873,0.11208729,0.124148436,0.6519723492479169,118
ALDH16A1,-0.03607747180343064,-1.230084724258421,0.21891456726388694,0.15808524,0.18939407,0.652156385958394,118
EXTL3,-0.036073274570975374,-1.2299414304280534,0.21896820569606235,0.027915135,0.019291209,0.652156385958394,118
FKBP8,-0.036070448451412766,-1.2298449465312438,0.21900432733360778,-0.1280427,-0.09444483,0.652156385958394,118
FUT8,-0.036056665099674666,-1.229374382473078,0.21918055849593862,0.25626656,0.26597682,0.652416856973761,118
IPO5,-0.03605534691062224,-1.2293293794945301,0.21919741792232666,-0.12535284,-0.0861953,0.652416856973761,118
SRGN,-0.03604597559768909,-1.2290094430256253,0.21931730231693727,0.048225883,0.06855833,0.6524184644139411,118
CLIP1,-0.03604429665775258,-1.2289521240781902,0.21933878545674024,0.16678181,0.16874972,0.6524184644139411,118
ZMYM2,-0.03603821480497282,-1.2287444899361035,0.2194166193920734,0.04811635,0.07528505,0.6524405285549603,118
ABCB7,-0.036002110184983775,-1.227511882874567,0.21987908444611226,-1.1395665,-1.1163185,0.6531868088924184,118
TIMCC,-0.03598291294671634,-1.226856493600647,0.22012526666148266,-0.4637014,-0.44647855,0.6536038001127921,118
ENDOD1,-0.035979627976285934,-1.2267443456062865,0.2201674123609096,0.14386114,0.14535682,0.6536242099423287,118
ITM2C,-0.0359699626115024,-1.2264143729201797,0.22029145113490123,0.10364079,0.11227984,0.6538300968335085,118
DUSP4,-0.03596872561008963,-1.2263721420838276,0.22030732958979152,0.17195098,0.179832,0.6538300968335085,118
ATP2B3,-0.03591928058190683,-1.2246841091055303,0.22094268967975844,0.14316773,0.1692847,0.6547633636372999,118
CRB1,-0.035916758985770264,-1.2245980230893136,0.2209751268786182,0.14033695,0.1538259,0.6547633636372999,118
RPL12,-0.035910900712244356,-1.2243980246857349,0.2210504994449579,-3.043836,-2.9603376,0.6547773026238035,118
ABCC1,-0.035908153546118635,-1.2243042379101496,0.22108585083184543,0.17147796,0.18451115,0.6547773536463045,118
CERK,-0.035894902379311824,-1.2238518505849998,0.22125642780810623,0.04736619,0.05306902,0.6548283736986965,118
TANC2,-0.03589275663827475,-1.2237785962628305,0.22128405793496167,0.1346807,0.15109177,0.6548283736986965,118
ABCD1,-0.03589042190133048,-1.2236988897521048,0.2213141245164695,0.012959577,0.055261463,0.6548283736986965,118
MIF4GD,-0.0358869900156537,-1.223581727281983,0.2213583254115743,-0.030304773,-0.01203133,0.6548283736986965,118
SKIC2,-0.03587678080882857,-1.2232331914847958,0.22148985201713317,-0.110179275,-0.09342583,0.6549010335380828,118
NME8,-0.03587015378038475,-1.2230069491737425,0.22157525885879514,0.101323605,0.106015734,0.6549706686732066,118
SLC38A5,-0.03585628112792836,-1.2225333466363866,0.22175412108280954,0.18155855,0.19598341,0.6552903233592,118
BNC2,-0.03585230539843787,-1.2223976181756304,0.2218053998091271,0.21008888,0.23175561,0.6553373507434526,118
PTPRQ,-0.03582989916680733,-1.2216326871061798,0.22209455270806036,-0.110147014,-0.1044928,0.6559695215268787,118
OR6C6,-0.03580023636393248,-1.2206200252571806,0.22247776640915412,-0.22786766,-0.20649052,0.6560943134745189,118
ZNF646,-0.035800070834269226,-1.2206143742299784,0.22247990621228197,0.008353275,0.02043264,0.6560943134745189,118
ZNF416,-0.03579335589090337,-1.2203851324564061,0.2225667227396894,0.1569471,0.16720128,0.6560943134745189,118
IFITM5,-0.03578090599687144,-1.219960105364908,0.22272774969016743,0.061022505,0.08014224,0.6560943134745189,118
MLLT10,-0.03577498550789996,-1.2197579859157814,0.22280435451708513,0.22148754,0.23135181,0.6560943134745189,118
CEP250,-0.0357729803622509,-1.2196895323195727,0.22283030323685377,0.03801025,0.042404577,0.6560943134745189,118
ACTL6B,-0.03576543342376086,-1.2194318877863048,0.22292798802253033,0.15778351,0.16693522,0.6560943134745189,118
PDE4DIP,-0.03575368882410783,-1.2190309399364683,0.22308006665559957,-0.458886,-0.42235962,0.6560943134745189,118
STING1,-0.03575249589139208,-1.2189902145401854,0.2230955178659049,0.15244468,0.17013456,0.6560943134745189,118
OCIAD2,-0.0357503446540333,-1.218916773702286,0.22312338324879685,0.22721478,0.23920067,0.6560943134745189,118
BTF3,-0.035736753490280736,-1.2184527869616653,0.22329948964968688,-0.5142554,-0.5005816,0.6560943134745189,118
CACNA1B,-0.035729225816078215,-1.2181958010904086,0.22339707160215114,0.057146043,0.068985984,0.6560943134745189,118
MLC1,-0.0357272906081416,-1.2181297354196954,0.22342216280769442,0.16484325,0.18138213,0.6560943134745189,118
AGBL5,-0.035722651513542286,-1.2179713623672235,0.22348231982687086,0.05493523,0.062438972,0.6560943134745189,118
FMN1,-0.03572161729743499,-1.2179360554967849,0.22349573250334429,0.22686696,0.24230514,0.6560943134745189,118
FANCE,-0.035713274051878366,-1.2176512274616829,0.22360395650464887,-0.05267173,-0.052302737,0.6560943134745189,118
CAMK2G,-0.035708858773561655,-1.2175004954499997,0.22366124421558486,0.074896514,0.09111584,0.6560943134745189,118
